German,English,Example Sentence (German),Example Sentence (English)
der, the, Der Hund ist groß., The dog is big.
und, and, Ich habe einen Apfel und eine Banane., I have an apple and a banana.
sein, to be, Ich möchte Arzt sein., I want to be a doctor.
in, in, Ich bin in der Stadt., I am in the city.
haben, to have, Ich habe einen Hund., I have a dog.
ich, I, Ich gehe zur Schule., I am going to school.
du, you (informal), Du bist nett., You are nice.
er, he, Er spielt Fußball., He plays soccer.
sie, she, Sie liest ein Buch., She is reading a book.
es, it, Es regnet heute., It is raining today.
wir, we, Wir gehen ins Kino., We are going to the cinema.
ihr, you (plural), Ihr habt Glück., You all are lucky.
sie, they, Sie gehen nach Hause., They are going home.
nicht, not, Ich weiß nicht., I don't know.
mit, with, Ich gehe mit dir., I am going with you.
aber, but, Ich möchte kommen, aber ich kann nicht., I want to come, but I can't.
für, for, Das ist für dich., This is for you.
auf, on, Das Buch liegt auf dem Tisch., The book is on the table.
dass, that, Ich denke, dass er recht hat., I think that he is right.
können, can, Ich kann schwimmen., I can swim.
aus, out, Er geht aus dem Haus., He is going out of the house.
bei, at, Er ist bei mir., He is at my place.
nach, after/to, Wir fahren nach Berlin., We are going to Berlin.
über, over/about, Das Flugzeug fliegt über das Meer., The plane flies over the sea.
diese, this, Diese Blume ist schön., This flower is beautiful.
so, so, Ich bin so müde., I am so tired.
was, what, Was machst du?, What are you doing?
gehen, to go, Ich gehe zur Arbeit., I am going to work.
kommen, to come, Wann kommst du?, When are you coming?
machen, to do/make, Was machst du?, What are you doing?
sehen, to see, Ich sehe den Vogel., I see the bird.
gut, good, Das ist ein gutes Buch., That is a good book.
geben, to give, Er gibt mir ein Geschenk., He gives me a gift.
finden, to find, Ich kann meine Schlüssel nicht finden., I can't find my keys.
denken, to think, Was denkst du?, What do you think?
essen, to eat, Ich esse einen Apfel., I am eating an apple.
trinken, to drink, Ich trinke Wasser., I am drinking water.
schlafen, to sleep, Ich schlafe gerne., I like to sleep.
arbeiten, to work, Ich arbeite im Büro., I work in the office.
spielen, to play, Wir spielen Fußball., We are playing soccer.
fahren, to drive/go, Ich fahre nach Hause., I am driving home.
laufen, to run/walk, Ich laufe jeden Tag., I run every day.
stehen, to stand, Der Baum steht im Garten., The tree stands in the garden.
liegen, to lie, Das Buch liegt auf dem Tisch., The book lies on the table.
sitzen, to sit, Sie sitzt auf dem Stuhl., She is sitting on the chair.
lernen, to learn, Ich lerne Deutsch., I am learning German.
schreiben, to write, Er schreibt einen Brief., He is writing a letter.
lesen, to read, Ich lese ein Buch., I am reading a book.
sprechen, to speak, Ich spreche Englisch., I speak English.
verstehen, to understand, Verstehst du mich?, Do you understand me?
fragen, to ask, Ich habe eine Frage., I have a question.
antworten, to answer, Er antwortet schnell., He answers quickly.
wohnen, to live, Ich wohne in Berlin., I live in Berlin.
brauchen, to need, Ich brauche Hilfe., I need help.
mögen, to like, Ich mag Schokolade., I like chocolate.
lieben, to love, Ich liebe dich., I love you.
denken, to think, Ich denke oft an dich., I think of you often.
beginnen, to begin, Der Film beginnt um 8 Uhr., The movie begins at 8 o'clock.
enden, to end, Wann endet der Film?, When does the movie end?
brauchen, to need, Ich brauche einen Stift., I need a pen.
holen, to fetch/get, Ich hole den Ball., I get the ball.
zeigen, to show, Er zeigt mir das Bild., He shows me the picture.
verstehen, to understand, Ich verstehe nicht., I don't understand.
vergessen, to forget, Ich habe meine Hausaufgaben vergessen., I forgot my homework.
beginnen, to start, Wann beginnt der Kurs?, When does the course start?
gewinnen, to win, Er gewinnt das Spiel., He wins the game.
verlieren, to lose, Wir haben das Spiel verloren., We lost the game.
arbeiten, to work, Sie arbeitet im Krankenhaus., She works in the hospital.
