hello,bonjour
goodbye,au revoir
please,s'il vous plaît
thank you,merci
yes,oui
no,non
sorry,désolé
excuse me,excusez-moi
my name is,je m'appelle
what,quoi
where,où
when,quand
how,comment
why,pourquoi
who,qui
I,je
you,tu
he,il
she,elle
we,nous
they,ils
it,ça
this,ceci
that,cela
here,ici
there,là
now,maintenant
later,plus tard
today,aujourd'hui
tomorrow,demain
yesterday,hier
morning,matin
afternoon,après-midi
evening,soir
night,nuit
food,nourriture
water,eau
house,maison
car,voiture
street,rue
school,école
work,travail
friend,ami
family,famille
man,homme
woman,femme
child,enfant
love,amour
happy,heureux
sad,triste
big,grand
small,petit
hot,chaud
cold,froid
old,vieux
new,nouveau
good,bon
bad,mauvais
easy,facile
difficult,difficile
fast,rapide
slow,lent
near,près
far,loin
open,ouvert
closed,fermé
up,haut
down,bas
left,gauche
right,droite
inside,à l'intérieur
outside,à l'extérieur
morning,matin
money,argent
store,magasin
price,prix
expensive,cher
cheap,bon marché
buy,acheter
sell,vendre
give,donner
take,prendre
help,aider
see,voir
hear,entendre
speak,parler
listen,écouter
read,lire
write,écrire
understand,comprendre
know,savoir
think,penser
want,vouloir
need,avoir besoin
like,aimer
hate,détester
start,commencer
finish,finir
wait,attendre
enter,entrer
leave,partir
sit,s'asseoir
stand,se lever
walk,marcher
run,courir
come,venir
go,aller
eat,manger
drink,boire
sleep,dormir
wake up,se réveiller
go to bed,aller au lit
bathroom,salle de bain
kitchen,cuisine
bed,lit
door,porte
window,fenêtre
chair,chaise
table,table
book,livre
pen,stylo
shirt,chemise
pants,pantalon
shoes,chaussures
coat,manteau
hat,chapeau
bag,sac
key,clé
phone,téléphone
computer,ordinateur
television,télévision
internet,internet
city,ville
country,pays
mountain,montagne
river,rivière
beach,plage
forest,forêt
animal,animal
dog,chien
cat,chat
bird,oiseau
fish,poisson
horse,cheval
cow,vache
chicken,poulet
pig,cochon
sheep,mouton
mouse,souris
but,mais
because,parce que
if,si
and,et
or,ou
with,avec
without,sans
before,avant
after,après
always,toujours
never,jamais
sometimes,parfois
usually,d'habitude
often,souvent
rarely,rarement
early,tôt
late,tard
happy,heureux
sad,triste
angry,en colère
surprised,surpris
tired,fatigué
hungry,affamé
thirsty,assoiffé
sick,malade
healthy,en bonne santé
beautiful,beau
ugly,laid
strong,fort
weak,faible
clean,propre
dirty,sale
new,nouveau
old,vieux
easy,facile
hard,difficile
light,lumière
dark,sombre
fun,amusant
boring,ennuyeux
interesting,intéressant
important,important
dangerous,dangereux
safe,sécurisé
true,vrai
false,faux
correct,correct
wrong,faux
early,tôt
late,tard
open,ouvert
closed,fermé
busy,occupé
free,libre
heavy,lourd
light,léger
full,plein
empty,vide
clean,propre
dirty,sale
hungry,affamé
thirsty,assoiffé
hot,chaud
cold,froid
wet,mouillé
dry,sec
first,premier
last,dernier
start,commencer
finish,finir
again,encore
stop,arrêter
play,jouer
work,travail
travel,voyager
drive,conduire
fly,voler
swim,nager
ride,monter
walk,marcher
run,courir
dance,danser
sing,chanter
write,écrire
read,lire
listen,écouter
watch,regarder
look,regarder
hear,entendre
speak,parler
feel,ressentir
touch,toucher
smell,sentir
taste,goûter
buy,acheter
sell,vendre
pay,payer
cost,coûter
give,donner
receive,recevoir
send,envoyer
ask,demander
answer,répondre
call,appeler
visit,visiter
stay,rester
leave,partir
