hello,привет
goodbye,до свидания
please,пожалуйста
thank you,спасибо
yes,да
no,нет
sorry,извините
excuse me,простите
help,помощь
where,где
who,кто
what,что
when,когда
why,почему
how,как
friend,друг
family,семья
water,вода
food,еда
coffee,кофе
tea,чай
bread,хлеб
milk,молоко
apple,яблоко
banana,банан
orange,апельсин
egg,яйцо
cheese,сыр
meat,мясо
chicken,курица
fish,рыба
salt,соль
pepper,перец
sugar,сахар
knife,нож
fork,вилка
spoon,ложка
plate,тарелка
cup,чашка
glass,стакан
car,машина
bus,автобус
train,поезд
airport,аэропорт
station,станция
ticket,билет
school,школа
university,университет
teacher,учитель
student,студент
book,книга
pen,ручка
paper,бумага
phone,телефон
computer,компьютер
table,стол
chair,стул
window,окно
door,дверь
bed,кровать
room,комната
house,дом
apartment,квартира
street,улица
city,город
country,страна
mountain,гора
river,река
ocean,океан
beach,пляж
sun,солнце
moon,луна
star,звезда
sky,небо
cloud,облако
rain,дождь
snow,снег
wind,ветер
cold,холодный
hot,жаркий
warm,тёплый
summer,лето
winter,зима
spring,весна
autumn,осень
day,день
night,ночь
morning,утро
evening,вечер
time,время
hour,час
minute,минута
second,секунда
now,сейчас
today,сегодня
yesterday,вчера
tomorrow,завтра
week,неделя
month,месяц
year,год
old,старый
young,молодой
man,мужчина
woman,женщина
child,ребёнок
boy,мальчик
girl,девочка
father,отец
mother,мать
brother,брат
sister,сестра
son,сын
daughter,дочь
husband,муж
wife,жена
people,люди
work,работа
job,профессия
money,деньги
shop,магазин
market,рынок
price,цена
cheap,дешёвый
expensive,дорогой
big,большой
small,маленький
long,длинный
short,короткий
new,новый
old (thing),старый
happy,счастливый
sad,грустный
good,хороший
bad,плохой
easy,лёгкий
difficult,трудный
important,важный
interesting,интересный
beautiful,красивый
ugly,некрасивый
clean,чистый
dirty,грязный
open,открытый
closed,закрытый
light,светлый
dark,тёмный
fast,быстрый
slow,медленный
early,ранний
late,поздний
first,первый
last,последний
left,левый
right,правый
up,вверх
down,вниз
inside,внутри
outside,снаружи
near,рядом
far,далеко
next,следующий
together,вместе
alone,один
friend,друг
enemy,враг
love,любовь
hate,ненависть
feel,чувствовать
see,видеть
hear,слышать
smell,запах
taste,вкус
touch,касание
know,знать
understand,понимать
think,думать
believe,верить
want,хотеть
need,нуждаться
like,нравиться
choose,выбирать
start,начать
finish,закончить
win,выиграть
lose,проиграть
give,давать
take,брать
buy,покупать
sell,продавать
send,отправлять
receive,получать
wait,ждать
stop,остановить
go,идти
come,приходить
arrive,прибыть
leave,уходить
run,бежать
walk,ходить
sit,сидеть
stand,стоять
sleep,спать
wake up,просыпаться
eat,есть
drink,пить
read,читать
write,писать
speak,говорить
listen,слушать
ask,спрашивать
answer,отвечать
learn,учить
teach,преподавать
play,играть
sing,петь
dance,танцевать
work,работать
rest,отдыхать
drive,водить
ride,ехать
fly,лететь
swim,плавать
jump,прыгать
run,бежать
walk,ходить
buy,покупать
sell,продавать
call,звонить
wait,ждать
start,начинать
end,заканчивать
meet,встретить
help,помочь
build,строить
break,ломать
fix,чинить
wash,мыть
clean,чистить
cook,готовить
open,открывать
close,закрывать
turn on,включать
turn off,выключать
run,бежать
jump,прыгать
dance,танцевать
sing,петь
draw,рисовать
read,читать
write,писать
watch,смотреть
look,смотреть
see,видеть
hear,слышать
listen,слушать
smell,нюхать
taste,пробовать
feel,чувствовать
know,знать
think,думать
understand,понимать
believe,верить
hope,надеяться
love,любить
hate,ненавидеть
