hello,ciao
goodbye,arrivederci
please,per favore
thank you,grazie
yes,sì
no,no
sorry,scusa
excuse me,mi scusi
bathroom,bagno
water,acqua
food,cibo
coffee,caffè
tea,tè
milk,latte
bread,pane
cheese,formaggio
beer,birra
wine,vino
house,casa
car,macchina
bus,autobus
train,treno
airplane,aereo
boat,barca
bicycle,bicicletta
street,strada
city,città
village,villaggio
school,scuola
university,università
teacher,insegnante
student,studente
friend,amico
family,famiglia
father,padre
mother,madre
brother,fratello
sister,sorella
son,figlio
daughter,figlia
husband,marito
wife,moglie
child,bambino
man,uomo
woman,donna
boy,ragazzo
girl,ragazza
old,vecchio
young,giovane
big,grande
small,piccolo
new,nuovo
good,buono
bad,cattivo
beautiful,bello
ugly,brutto
happy,felice
sad,triste
angry,arrabbiato
tired,stanco
hungry,affamato
thirsty,assetato
hot,caldo
cold,freddo
morning,mattina
afternoon,pomeriggio
evening,sera
night,notte
day,giorno
week,settimana
month,mese
year,anno
today,oggi
tomorrow,domani
yesterday,ieri
time,tempo
hour,ora
minute,minuto
second,secondo
now,adesso
later,più tardi
soon,presto
early,presto
late,tardi
always,sempre
never,mai
sometimes,a volte
often,spesso
rarely,raramente
once,una volta
twice,due volte
first,primo
last,ultimo
before,prima
after,dopo
next,prossimo
near,vicino
far,lontano
right,destra
left,sinistra
up,su
down,giù
inside,dentro
outside,fuori
here,qui
there,lì
who,chi
what,cosa
where,dove
when,quando
why,perché
how,come
which,quale
this,questo
that,quello
these,questi
those,quelli
one,uno
two,due
three,tre
four,quattro
five,cinque
six,sei
seven,sette
eight,otto
nine,nove
ten,dieci
Monday,lunedì
Tuesday,martedì
Wednesday,mercoledì
Thursday,giovedì
Friday,venerdì
Saturday,sabato
Sunday,domenica
morning,mattina
afternoon,pomeriggio
evening,sera
night,notte
spring,primavera
summer,estate
autumn,autunno
winter,inverno
dog,cane
cat,gatto
bird,uccello
fish,pesce
cow,mucca
horse,cavallo
chicken,pollo
duck,papera
sheep,pecora
pig,maiale
mouse,topo
snake,serpente
shirt,camicia
pants,pantaloni
shoes,scarpe
hat,cappello
dress,vestito
coat,cappotto
gloves,guanti
socks,calze
bag,borsa
key,chiave
door,porta
window,finestra
chair,sedia
table,tavolo
bed,letto
lamp,lampada
computer,computer
phone,telefono
book,libro
pen,penna
pencil,matita
paper,carta
notebook,quaderno
bag,borsa
money,soldi
wallet,portafoglio
credit card,carta di credito
ticket,biglietto
passport,passaporto
camera,macchina fotografica
suitcase,valigia
room,stanza
bathroom,bagno
kitchen,cucina
bedroom,camera da letto
living room,soggiorno
garden,giardino
wall,muro
floor,pavimento
ceiling,soffitto
